Organization Name,Short Name,Category,Summary,Description
Sigma Lambda Beta International Fraternity Inc. Phi Beta Chapter,SLB/Betas,Fraternities & Sororities- Multicultural Greek Council,"We strongly believe in fairness, opportunity, and equality for all men, no matter what race, culture, or ethnicity. We closely adhere to our four principles of Brotherhood, Scholarship, Community Service, and Cultural Awareness.","We strongly believe in fairness, opportunity, and equality for all men no matter what race, culture or ethnicity. We closely adhere to our four principles of Brotherhood, Scholarship, Community Service and Cultural Awareness."
"Sigma Lambda Gamma National Sorority, Inc.",SLG,Fraternities & Sororities- Multicultural Greek Council,"Through excellence in the organization’s five founding principles, Sigma Lambda Gamma National Sorority, Incorporated. provides opportunities for lifelong empowerment to its members, thereby positively influencing the global community.","Sigma Lambda Gamma National Sorority, Incorporated, is a multicultural organization. It was originally founded to create a safe space for Latina women. Many of its customs and traditions continue to come from its Latina roots. Since its founding, its scope and appeal as a vibrantly diverse sorority committed to empowering all its members has become a central element of the organization."
Sigma Nu,Sigma Nu,Fraternities & Sororities- IFC/PH,"We believe in academic excellence, an active social life, support for athletics, campus leadership, community service and philanthropic values.","We believe in academic excellence, an active social life, support for athletics, campus leadership, community service and philanthropic values. Our mission: To develop ethical leaders inspired by the principles of Love, Honor and Truth. To foster the personal growth of each man&rsquo;s mind, heart and character. To perpetuate lifelong friendships and commitment to the Fraternity."
Sigma Phi Epsilon,SigEp,Fraternities & Sororities- IFC/PH,"Sigma Phi Epsilon - Washington Beta Chapter is a values-based fraternity committed to Virtue, Diligence, and Brotherly Love. We foster lifelong friendships, promote academic excellence, and strong, sound leadership.",
Sigma Psi Zeta,SYZ,Fraternities & Sororities- Multicultural Greek Council,"Sigma Psi Zeta is a progressive, multicultural Greek Organization that provides a means to success and support for womxn, particularly womxn of color, and builds on the unity of strong and independent leaders to affect change in our community.","Sigma Psi Zeta Sorority, Inc. is a progressive, multicultural Greek Organization that provides a means to success and support for women, particularly women of color. The sorority builds on the unity of strong and independent leaders to affect change in our organization, our campuses, and our local communities. Sigma Psi Zeta is an official partner of It's On Us, the White House Initiative to end sexual assault on college campuses."
Sikh Student Association,SSAUW,Cultural/International,"Sikh Student Association is a student based organization whose mission is to educate both Sikh and non-Sikhs on campus all while promoting main tenets of Sikhism, including community service, equality, and interfaith dialogue.","Sikh Student Association is a student based organization whose mission is to educate both Sikh and non-Sikhs on campus all while promoting main tenets of Sikhism, including community service, equality, and interfaith dialogue. Sikh Student Association also works to create a safe space on campus for students who identify as Sikh and/or want to learn about the Sikh faith. SSA also encourages education regarding Sikh history, The Sikh Scripture, and supportive resources such as mental health, physical health, family and friend support, academic advising support and more."
Simply Chai Club,,Cultural/International,"Simply Chai is a student-led organization that celebrates culture, mindfulness, and entrepreneurship through the ritual of chai. We create warm spaces for students to connect, slow down, and explore creativity by hosting workshops and events.","Simply Chai is a student-led organization rooted in cultural connection, mindfulness, and entrepreneurship. We are dedicated to sharing the rich tradition of chai through thoughtfully crafted products, creative events, and community storytelling. Our mission is to create a warm space&mdash;both literally and metaphorically&mdash;where students can slow down, connect, and explore mindful living through the ritual of chai. As a Hub RSO, Simply Chai will host cultural workshops, DIY spice blend nights, and collaborative events with other RSOs focused on wellness, sustainability, and entrepreneurship. We also offer opportunities for students to engage in product development, design, marketing, and community outreach&mdash;making it an inclusive space for creativity and collaboration. Whether you're passionate about culture, cozy beverages, or building something meaningful from scratch, Simply Chai welcomes you to sip, share, and stir something beautiful together."
Singapore Student Association,uwsingaporeans,Cultural/International,Creating a home away from home for Singaporeans on campus.,The Singaporean Student Association (SSA) is a vibrant and inclusive student organization based at UW Seattle dedicated to fostering a strong sense of community and cultural exchange among Singaporeans and those that identify with the Singaporean culture. Our association aims to create a home away from home.
Sisterhood,,Cultural/International,"SISTERHOOD supports the success of Black women at the University of Washington by providing a sense of community, encouraging respect, and fostering leadership.","SISTERHOOD supports the success of Black women at the University of Washington by providing a sense of community, encouraging respect, and fostering leadership. Through workshops, meetings, and community projects, Black women on college campuses are empowered to realize their full potential, and to make a meaningful impact in their local and global community."
Sisters In Color,S.I.C,Cultural/International,"Our mission is to create a space for students who identify as women of color to socialize, learn, and create.","Our mission is to create a space for students who identify as women of color to socialize, learn, and create, as well as find a community and space where they can feel at home. Our primary focus is community building, wellness, academic and emotional support. We accomplish this through professional development and welcoming planned activities during and beyond our member's time at UW. We promote the celebration of women of color via…"
Skate Club at University of Washington,Skate Club UW,Recreation,"The purpose of this club is to create a platform for students at The University of Washington to connect. In this club, members can schedule times to go skating with friends, find rides to local skateparks, and teach each other new skate tricks.","In 2020 there were an estimated fifty million skaters worldwide. In 2021 skateboarding was introduced into the Olympics, which introduced the sport to a wide-reaching audience. The publicity skateboarding achieved through being an Olympic event has many individuals interested in the sport for the first time. Skate Club at University of Washington was founded because of an increasing interest in skateboarding. If someone loves to skate or wishes to try it out, Skate Club at University of Washington is the prefect club for them! The purpose of this club is to create a platform for students at The University of Washington to connect. In this club, members can schedule times to go skating with friends, find rides to local skateparks, and teach each other new skate tricks. If someone is new to skating, this club is a great place to start! The process of learning to skateboard is hard. This club will support everybody along the way by teaching psychological tricks to subdue fears, physical exercises to improve balance, and how to stay motivated after long periods of slow or disappointing growth. These skills that naturally develop when learning to skateboard are useful life skills that will help members in their studies and professional carriers. Feel free to reach out to any admins so we can get you out skating with us ASAP! Follow us on Instagram @SkateClubUW to keep up with club updates and events. Club meetings are usually on Friday from 3:00 to 5:00 in Red Square or C5 (the parking garage below Red Square). We hope to see you there."
SKY@UW,SKY Club,Recreation,"Our purpose is to teach students stress management techniques and attitudes for personal and professional success through the contemporary and scientific use of yoga, meditation, personal awareness seminars and life enhancing","Our purpose is to bring meditation, breathwork, emotional intelligence, social connection, and service leadership to university students, faculty and staff. We envision a happy and mindful campus community where students, faculty, & staff thrive in life and lead with clarity of mind, resilience, purpose & belonging."
Small Church at UW,SCUW,Religious/Spiritual,The purpose of this organization is to go and make disciples by reaching out to not-yet believers and to educate and equip students in biblical foundations via the small church model.,
Smash Club,UWSC,Gaming/Esports,"The purpose of this club is to provide a social outlet for and to foster the growth of the Super Smash Bros. scene in the greater Seattle area, primarily focused towards University of Washington students. The club will throw","The purpose of this club is to provide a social outlet for and to foster the growth of the Super Smash Bros. scene in the greater Seattle area, primarily focused towards University of Washington students. The club will throw events as well and promote other local events in the greater scene."
Social and Inclusivity Committee at the University of Washington,SICUW,Performing,The Social and Inclusivity Committee at the University of Washington aims to promote inclusiveness bridging the gap between social divides at the University of Washington by bringing all students together through RECURRING on campus social events.,"The purpose of the Social and Inclusivity Committee at the University of Washington is to promote inclusivity at the University of Washington. Many students feel left out or that they lack involvement when it comes to being a student at the University of Washington. Many students develop loneliness or the fear of missing out due to having a hard time making friends or due to the fact that they aren’t involved in sports, greek life or certain interest groups. This negative experience stems from the lack of ON CAMPUS events that are catered towards ALL students at the University of Washington. The Social Committee aims to put on recurring social and formal events that students want to attend from dances to debates to DJ supported club nights we will allow students to have the college experience they deserve without feeling they have to commit their time and effort to being involved in one niche. The Social committee at the University of Washington will be an a strong advocate for student mental health and fighting exclusion. We will listen to feedback from students to create events that fit their wants and needs ensuring they get the experience they want. We will also implement themes at all of our events as an anonymous survey conducted on 300 students at the University of Washington showed that 86% of students would feel more excited about attending events on campus that include themes. In conclusion the Social and Inclusivity Committee aims to promote inclusiveness bridging the gap between social divides at the University of Washington by bringing all students together through RECURRING on campus social events."
Socialist Alternative at UW,SAUW,Political/Social Action,"It shall be the purpose of this organization to build a socialist movement at UW among students who agree with the political principles of the country-wide Socialist Alternative organization. We invite students, new and old, to the movement.","Socialist Alternative is a political organization that is building the movement to end the occupation of Palestine, provide free abortions to all seeking them, and implement rent control in Seattle. We spearheaded the recently victorious campaigns to Tax Amazon and make Seattle the nation's first abortion rights sanctuary city, successfully built three campaigns to elect and re-elect the independent socialist candidate Kshama Sawant to Seattle City Council, and stopped a right-wing recall attempt against her movement-building office. We build fighting movements of students and workers to combat racism, discrimination, injustice, and exploitation. We see the global capitalist system as the root cause of economic crises, poverty, discrimination, war, and environmental destruction. We need a socialist society where ordinary people will have control over our daily lives. Sign up to join Socialist Alternative at https://www.socialistalternative.org/get-involved/. Make sure to mention that you are a UW student, and someone will reach out to you with info about how to get involved!"
Society for Advanced Rocket Propulsion,SARP,Engineering,SARP’s mission is to provide students at the University of Washington the opportunity to expand beyond their classroom learning by designing and building a high powered rocket and develop technical and professional skills.,"The Society for Advanced Rocket Propulsion (SARP) is a group of students at the University of Washington that have come together to design, build, test, and launch an experimental high power rockets. Our mission is to provide students at the University of Washington the opportunity to expand beyond their classroom learning by designing and building a high powered rocket and develop technical and professional skills."
"Society for Ecological Restoration, UW Chapter",SER,Environmental,"To create a community for networking among UW and regional restoration students, researchers, practitioners, and other organizations and to share information and job/research opportunities related to restoration ecology.","Primarily, to increase biodiversity and functioning ecosystems on UW's campus while connecting students to campus green spaces. Secondarily, to create a community for networking among UW and regional restoration students, researchers, practitioners, and other organizations and to share information and job/research opportunities related to restoration ecology."
Society for Geography and Data Science,GeoDat,Academic,"GeoDat hopes to provide a fun, collaborative environment for students that are interested in, studying, or working in data science or a data science-adjacent field.","Our Mission We hope to provide a fun environment for students that are interested in, currently studying, or want to work in data science or a data science-adjacent field. While Geography Data Science is one of our focuses, students from all majors are invited to join and we will host workshops, panels, and guest lecturers on a wide spectrum of topics within the data science field. How to Get Involved Join the GeoDat Discord server. Come to one of our weekly meetings. New members are welcome year-round! Email us at geodat@uw.edu. Meeting Schedule For Autumn 2024, our meeting will be every other Wednesday starting Oct. 9th from 5-6 PM at a TBD location."
Society for Human Resource Management at UW,SHRM at UW,Business,"SHRM at UW, is a student organization dedicated to all things management and human resources related. UW students have the opportunity to join the local chapter and tap in to the wealth of resources available through this affiliation of national SHRM!","Society for Human Resources Management at University of Washington, is a student organization dedicated to all things management and human resources related! SHRM (Society for Human Resources Management) is an established national organization serving over 450,000 professionals around the world. UW students have the opportunity to join the local student chapter here on campus and tap in to the wealth of resources available through this affiliation. You will learn about management and human resources from real professionals in the field, listen to their experiences and gain useful tips as they share advice! In addition, get involved with special events and volunteering opportunities set up through the club to build the qualities that will lead you to success! This is a great networking opportunity for students to connect through a common interest so join one of our meetings and check out the resources that are available to you!"
Society for Industrial and Applied Mathematics: UW Student Chapter,SIAMUW,Graduate/Professional,"It shall be the purpose of this organization to facilitate useful presentations and discussions for applied mathematics graduate students. This organization will be run by and for students, seeking to meet student needs that","It shall be the purpose of this organization to facilitate useful presentations and discussions for applied mathematics graduate students. This organization will be run by and for students, seeking to meet student needs that are not satisfied by coursework or advisor relationships. This organization will also provide opportunities for mathematics outeach by students. Finally, this organization will seek to foster a healthy environment for scholarship in the applied mathematics department."
Society for the Advancement of Chicanos/Hispanics and Native Americans in Science - UW Chapter,SACNAS UW Chapter,Sciences,"SACNAS is a national organization focused on advancing underrepresented minorities (URMs) in STEM/Education. We are dedicated to recruitment, retention & professional development of future scientists, while maintaining a social community for members.","The SACNAS UW Chapter was founded in 2007 and consists of undergraduate, graduate, post-docs, faculty and staff from various scientific disciplines across campus. SACNAS UW Chapter focuses on academic and community outreach at college and K-12 levels. SACNAS UW is very dedicated to academic outreach and excellence, and has thus been nationally recognized. Awards include: Chapter of the Year (3), Role Model Chapter (1) and Distinguished Chapter (1). Follow us on Instagram for information about our upcoming chapter meetings and events!"
Society for the Advancement of Material & Process Engineering,SAMPE,Engineering,It shall be the purpose of this organization as a part of a global professional member society under the Materials Science & Engineering department to provide learning resources and hands-on lab and design experience with new materials and technology.,"It shall be the purpose of this organization as a part of a global professional member society under the Materials Science & Engineering (MSE) department to provide learning resources and hands-on lab and design experience with new materials and processing technology via technical forums, publications, books, student competitions, and conferences as a platform to exchange ideas in the composites community."
Society of American Foresters UW Chapter,SAF,"Academic, Environmental, Graduate/Professional, Recreation, Sciences","We are a society of environmental professionals that facilitates professional development, engagement, and connection between participants in the environmental sciences throughout the United States.","The mission of the Society of American Foresters is to facilitate comradery and engagement amongst our members, enhance the skillsets of our members, and to aid in the establishment of professional connections throughout the assorted fields of environmental science."
Society of Asian Scientists and Engineers,SASE @ UW,Engineering,"SASE's mission is to prepare STEM-pursuing students for success in the professional industry, to celebrate diversity on campus, and to provide opportunities for members to make contributions to their local communities.",
Society of Health Interprofessionals,SHIP,Graduate/Professional,"The Society of Health Interprofessional aim to unify health profession students by providing a forum for socialization, networking, collaboration and increased understanding of our professional identities.","The Society of Health Interprofessional aim to unify health profession students by providing a forum for socialization, networking, collaboration and increased understanding of our professional identities. In doing so we enable the next generation of healthcare professionals and those associated to develop the skills necessary to excel in an interdisciplinary, humanistic workforce."
Society of Hispanic Professional Engineers,SHPE ,Engineering,"SHPE is the leading social-technical organization whose primary function is to enhance and achieve the potential of underrepresented students in engineering, math and science.","Since its birth in 1982, the student chapter of the Society of Hispanic Professional Engineers (SHPE) at the University of Washington has been committed to recruit and aid underrepresented students in science and engineering to graduate and successfully attain their career goals. We will fulfill our mission by increasing educational opportunities, promoting professional and personal growth, carry out our social responsibility to be involved in education, business and government issues and enhancing pride within our organization and reinforcing our reputation as a vital underrepresented organization."
Society of Music Educators,SME,Academic,"Building a community and space for music educators University-wide to share ideas, provide more opportunities for learning and outreach to our greater musical body.","Building a community and space for music educators University-wide to share ideas, provide more opportunities for learning and outreach to our greater musical body."
Society of Physics Students,SPS,Sciences,Involving students from all backgrounds and supporting them. Creating a stimulating and motivating community of physics enthusiasts. Encouraging creativity beyond the classroom to push the boundaries of science and have fun while doing that.,"We hold weekly lunchbox seminars providing student opportunity to interact with distinguished physicists from around the world. Stop by the SPS Lounge to chat with our members about classes, study groups, research, and many more interesting topics. We host socials, game nights, trivia and movie screenings throughout the quarter, so look out for the announcements. To stay in on the latest discussion hop on the Discord channel and give us a follow on Instagram!"
"Society of Professional Journalists, UW Chapter",SPJ UW,Academic,The Society of Professional Journalists supports journalism students in their pursuit of a deeper understanding of professional journalism. The UW Student Chapter hosting skill-building workshops and networking opportunities with journalism professionals,"The Society of Professional Journalists (SPJ) is a national organization that supports journalism students in their pursuit of a deeper understanding of professional journalism. The UW student chapter of SPJ hosts skill-building workshops in an effort to promote professional networking opportunities, journalistic ethics, and the importance of a free press."
Society of Women Engineers at UW,SWE,Engineering,The SWE at UW section provides a community for students that support diversity within engineering and STEM professions. Our mission is to stimulate women to achieve their full potential in careers as engineers and leaders.,"The Society of Women Engineers at UW section encourages students to pursue careers within the field of engineering and to expand the image of the engineering profession as a positive force in improving the quality of life. Our mission is to stimulate women and non binary individuals to achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force in improving the quality of life, and demonstrate the value of diversity. Note: We do not monitor our husky link page actively. The best way to reach us would be via Instagram, email, Slack, or our website. Please stay connected! :D Website: sweuw.org Follow us on Instagram: @uwswe Join our slack channel! Email us with any questions: swe@uw.edu"
Software Engineering Career Club,,Engineering,"The goal of the club is to be a space for people that want to pursue SWE as a career. Within this space, the club hopes to help develop skills and provide resources that can improve your odds of being successful in your future SWE career.","Software Engineering Career Club (also known as SWECC) is a student-led organization at the University of Washington based in Seattle. Our club's mission is to be a space for people that want to pursue SWE as a career. Within this space, our club hopes to help develop skills and provide resources that can improve students' odds of being successful in their future SWE career. We host events focusing on networking, LeetCode, mentor-mentee pairing, possible career paths, workshopping application material, mock interviews, and other activities that will add value to our members. Join our discord: https://discord.gg/Y8wVvuFufH"
Sojourn Campus Ministry,SCM,Religious/Spiritual,It will be the purpose of this organization to make the University of Washington a better place by empowering students to follow Jesus.,Making the University of Washington a better place by empowering students to follow Jesus.
Solar at the University of Washington,Solar,Academic,Solar at the University of Washington (UW Solar) is a Vertically Integrated Project and RSO that is part of the Urban Infrastructure Lab at the University of Washington. We facilitate student participation in the development of solar infrastructure.,"Solar at the University of Washington is a Vertically Integrated Project and Registered Student Organization that is part of the Urban Infrastructure Lab at the University of Washington. We participate in the planning, design, and development of solar and related electrification (e.g., electric vehicles, charging, energy storage) projects and information systems on campus, and advise public organizations off-campus (e.g., other colleges, schools, and large public organizations) in this subject matter. Students from various disciplines and class standings- from freshmen to PhD- work together on a diverse set of projects spanning (but not limited to) engineering, architecture, construction management, public policy and administration, business and urban planning. We meet every week, Monday and Wednesday in Gould 012C."
Solar Decathlon at University of Washington,,"Academic, Business, Engineering, Environmental, Graduate/Professional, Sciences, Special Interest","The Solar Decathlon is a Department of Energy competition to design and build high-performance, low carbon buildings that mitigate climate change, and improve quality of life based on affordability, resilience and energy efficiency.","****** Solar Decathlon is being transitioned into the Eco-Build at UW, affiliated with the Northwest Eco-Build Guild. Due to DOGE cuts to the Department of Energy, SD was ""reformatted"", to exclude both sustainably focused competitions AND multiculturalism. We didn't like that. Eco-Build is both sustainability-minded AND multicultural-based, aiming to provide a platform that allows all Built Environment students to work collaboratively on a wider range of competitions. Reach out to either the Solar Decathlon or Eco-Build Instagram accounts, the Solar Decathlon email on this page, or to Atticus, the President of Eco-Build at UW, at brandoty@uw.edu, to join! Now Welcoming students for the start of Autumn Quarter! ****** The Solar Decathlon is a prestigious international competition that challenges teams of students to design and build energy-efficient, Net Zero Carbon houses. It is a unique opportunity to merge cutting-edge technology, sustainable design principles, and creative thinking to create a future-forward living space. The competition fosters academic excellence and provides an invaluable platform for networking, learning, and showcasing your talents to a global audience. Links to points of contact: (email) solardecathlon@uw.edu ecobuilduw@uw.edu brandoty@uw.edu (insta) @uwsolardecathlon @ecobuilduw"
Solar Vehicle Team at The University of Washington,UWSVT,"Business, Engineering, Environmental, Sciences, Special Interest","Join UW’s Solar Vehicle Team and help design, build, and race cutting-edge solar-powered cars while shaping the future of sustainable transportation!","Solar Vehicle Team (SVT) The Solar Vehicle Team is a student-led, multidisciplinary RSO at the University of Washington that designs, builds, and races solar-powered cars. Every summer, we compete in a national race, most recently the Formula Sun Grand Prix 2025, where we placed 6th overall and earned the Rookie of the Year award. SVT offers opportunities for students of all majors to contribute to engineering, business, design, and operations while working on cutting-edge sustainable transportation. We open applications every Fall and Spring, and this year we are building an entirely new car, making it the perfect time to join. If you are interested, please email us at svtuw@uw.edu"
Somali Student Association,SSA,Cultural/International,"Our mission is to provide a unique experience of history, traditions, and heritage by portraying a clear and concise image of Somalia's rich culture through our events and activities.","https://www.youtube.com/watch?v=1WZ94X6qZ5U Our mission is to provide a unique experience of history, traditions, and heritage by portraying a clear and concise image of Somalia's rich culture through our events and activities. While building a connection between the Somali students on campus and the larger student body to create a sense of community where those who share our background can find comfort and those who are curious can find answers. We strive to increase positive knowledge and understanding of the Somali way of life. Most importantly we hope to increase the enrollment of students who are of East-African descent, by the mentoring and walkthroughs of the college application process. We hope to make an impact on our community at the University Of Washington and beyond."
Some Learners Interested in Diagnosing Everything (Pathology Interest Group),SLIDE,Medical/Dental/Nursing/Pharmacy,Some Learners Interested in Diagnosing Everything (SLIDE) is a Pathology interest group; we study the conceptual underpinnings of biology by reviewing histology!,"Some Learners Interested in Diagnosing Everything (SLIDE) is a Pathology interest group; we study the conceptual underpinnings of biology by reviewing histology! The purpose of this group is to promote interest in pathology as a specialty, disseminate information about opportunities offered by pathology as a career, connect students with shadowing and mentorship opportunities, enhance experiences of those pursuing research in the field of pathology, and provide educational sessions relevant to medical school courses highlighting the dynamic role of pathology in medicine."
Somos CBE,,Cultural/International,"We advocate for representation of Latin American and Latine communities in the built environment, as well as connect Latine students in the College of Built Environments with the greater Seattle community, professional resources, and each other.","We seek to promote education through regular researching and sharing of Latine firms, architects, case studies, and neighborhood characters, along with promoting resources for students who are looking to connect with other organizations. We also dedicate ourselves to hosting events such as panels, firm tours, lectures, student gatherings, and volunteer sessions to foster community and provide knowledge that is lacking from current curricula."
South Asian Medical Body for Health Access and Vitality,SAMBHAV,Medical/Dental/Nursing/Pharmacy,"SAMBHAV strives to improve the South Asian community's well-being and access to healthcare. Its initiatives aim to lower healthcare disparities, encourage well-being, and expand access to healthcare services.","SAMBHAV (South Asian Medical Body for Health Access and Vitality) is an organization that works to improve healthcare access, promote wellness, and address healthcare disparities in the South Asian community. Our objective is to create a healthier future by bringing together a diverse network of healthcare professionals, organizations, and advocates who share the goal of enhancing the well-being of South Asian populations. We strive to provide equitable healthcare access to South Asians, who frequently face unique health challenges and disparities. We seek to bridge healthcare access gaps by engaging with local clinics, health advocacy groups, and cultural organizations to provide culturally selective and effective healthcare solutions. SAMBHAV's work is driven through dedication to inclusivity, which ensures that every voice in the community is heard and represented. We aspire to create a lasting impact on the health and well-being of the South Asian community, promoting the vibrancy and resilience of every individual we serve."
South Asian Student Association at UW,SASA,Cultural/International,"SASA aims to spread awareness about the diverse culture of South Asia to the UW community and the greater Seattle area. We represent 6 different South Asian countries: Bangladesh, Bhutan, India, Nepal, Pakistan, Sri Lanka.","By representing 6 South Asian countries (Bangladesh, Bhutan, India, Nepal, Pakistan, and Sri Lanka), SASA aims to uplift, highlight, and spread the diverse culture of South Asia to the UW community and the greater Seattle area. Our 3 pillars (society, culture, and philanthropy) materialize in the form of engaging, inclusive events we host throughout the year to unite the UW community and spread cultural awareness. Our social, cultural, and philanthropic events offer a variety of opportunities for South Asian students to engage in fulfilling social activities, reconnect with their own cultures, learn more about others, and participate in a group effort to contribute to a meaningful cause. Our board works hard on these events to create an inclusive community for students who feel isolated from their families and homes, for students looking for friends with shared experiences, and for students who want to learn more about South Asian culture while still having fun!"
Spanish Club,SC,Cultural/International,The purpose of this club is to create a space where people of all Spanish ability levels can come together and practice. We hold meetings every week.,"The purpose of this club is to create a space where people with all levels of Spanish ability are able to come together and practice with one another. We hold meetings every week in which we speak Spanish. The meetings take place on campus where we will do things like have themed discussions, play games, and watch movies. We will also hold 1-3 outings per quarter to help improve our language abilities such as visiting an authentic Mexican restaurant or attending an event hosted by members of the Seattle Spanish-speaking community. Everyone from new learners to native speakers are welcome!"
Special Olympics College at University of Washington,SOUW,Special Interest,"This group has been founded to increase awareness, respect, and acceptance of the intellectually disabled across the University of Washington through our attendance of Special Olympics sporting events, fundraising events, and informational events.","As individuals of diversity, unity, acceptance, and leadership, we will work together to be a supportive group of peers and students to support the community of athletes and people with intellectual disabilities through our attendance of Special Olympics sporting events, fundraising events, and informational events. This group has been founded to increase awareness, respect, and acceptance of the intellectually disabled across the University of Washington."
Speech and Hearing Sciences Doctoral Student Association,SPHSC DSA,Academic,The SPHSC DSA at the UW is a Ph.D. student-led organization that aims to provide a voice for doctoral students in the Speech and Hearing department.,"The DSA establishes and maintains communication with faculty and facilitates community-building and support amongst the doctoral students. The DSA holds general body meetings with all Ph.D. students in the department, as well as executive board meetings, in which DSA officers plan and organize. The DSA also hosts social events to build and foster relationships amongst doctoral students."
Spheres at the University of Washington ,Spheres,"Academic, Cultural/International, Health Sciences, Political/Social Action, Sciences, Special Interest",This year we will host various graduate student and professor seminars discussing interdisciplinary topics based on the Anthropology field. We will also host events to connect students with volunteering and research opportunities. All are welcome!,"Our goal is to acknowledge human diversity through anthropology across interdisciplinary fields by welcoming interested members of all backgrounds to join us in research, advocacy, community, and academic engagement."
Sports Analytics Club at UW,SAC@UW,Sports,"The purpose of Sports Analytics Club at UW is to educate a diverse body of students in data analytics through the interdisciplinary medium of sports, helping them discover different aspects of analytics and how it plays a role in professional sports.",Active club
Sports Medicine Club @ UW,SMC,"Academic, Health Sciences, Sports","Club intended to gather students in pre-physical therapy, pre-medical, and related pre-health careers to gather and learn more about the intersection of sports and medicine through workshops, general meetings, professional opportunities, and mentorship.","Our sports medicine club is intended to be a safe space for pre-physical therapy, pre-medical, and really any student interested in the intersection of sports and medicine to gather and learn more about the world of sports medicine. We intend to help provide social and professional development through sports related general meetings, workshops, professional opportunities (shadowing, volunteering, site visits), and mentorship. Our hope is that our members develop in these areas, but more importantly we want to create a fun space where members are able to share their love and passion for various sports as well. If you are interested, we would love for you to check out our instagram and get involved: @smc.uw."
Stage Notes,SN,Performing,"Stage Notes promotes the art of musical theater on the UW campus, provides opportunities for UW students to participate in all aspects of musical theater productions, and produces musicals for the entertainment of the UW community and the public at large","Stage Notes promotes the art of musical theater on the UW campus, provides opportunities for UW students to participate in all aspects of musical theater productions, and produces musicals for the entertainment of the UW community and the public at large. We have a great community and put on 2-3 shows a year! Follow us on Instagram to keep up to date and DM us with any questions! @uwstagenotes"
Star Wars Club at UW,,Special Interest,Our purpose is to create a safe and fun space for Star Wars fans and those wanting to become Star Wars fans!,"This club is geared to Star Wars fans with activities such watching the movies, playing games, lightsaber battles, and many more. It is a fun space where fans can meet other fans and those wishing to get into Star Wars have that opportunity."
StarCraft 2 at University of Washington,SC2UW,Gaming/Esports,A club dedicated to the game StarCraft 2.,"StarCraft 2 at the University of Washington&rsquo;s purpose is to create and encourage a positive StarCraft 2 community, where members can enjoy competitive and casual gaming."
Startup Club ,,"Academic, Business, Engineering, Sciences","The Startup Club is a hub for entrepreneurial minds to innovate, collaborate, and bring ideas to life. We provide mentorship, funding opportunities, workshops, and networking with industry experts. Join us to turn your vision into reality.","The Startup Club is a community for entrepreneurial minds eager to innovate, collaborate, and bring ideas to life. Our purpose is to foster a culture of creativity and growth, providing students with the tools, mentorship, and opportunities to turn their visions into reality. By connecting like-minded individuals we aim to create a supportive network where members can share insights, brainstorm solutions, and form impactful collaborations. The club plans on actively seeking funding opportunities, organizing workshops, and hosting guest speakers, including successful entrepreneurs and industry experts to inspire and guide our members. Whether you have a business idea or are looking to contribute your skills to a startup team, The Startup Club is your launchpad for turning aspirations into achievements. Together, we aim to redefine innovation and create meaningful impact both on campus and beyond."
Statistics & Probability Association,SPA,Academic,"The Statistics and Probability Association (SPA) is a welcoming place to meet fellow students as well as cultivate an interest, community, and professional development in statistics. Both Statistics majors and non-majors are welcome to join the SPA!","The Statistics and Probability Association (SPA) is a welcoming place to get to know fellow students as well as cultivate an interest, community, and professional development in statistics. Both Statistics majors and non-majors are welcome to join the SPA!"
Steel Bridge Team at UW,SBT,Engineering,"The Steel Bridge Competition increases awareness of real-world engineering issues such as spatial constraints, material properties, strength, serviceability, fabrication and erection processes, safety, aesthetics, and project management and cost.","The Steel Bridge Competition increases awareness of real-world engineering issues such as spatial constraints, material properties, strength, serviceability, fabrication and erection processes, safety, aesthetics, project management and cost. Success in competition requires application of engineering principles, theory, and effective teamwork. Future engineers are stimulated to innovate, practice professionalism, and use structural steel efficiently."
STEM Book Club,,"Academic, Engineering, Health Sciences, Recreation, Sciences","Check out our website to learn more and apply! https://sites.google.com/view/uwstembookclub/home The STEM Book Club encourages scientific exploration through books, films, and research.","Check out our website to look at our book reviews, learn more, and official applications! Also be sure to stop by our YouTube Channel and Instagram!!! The STEM Book Club is a community dedicated to exploring science, technology, engineering, and math through literature, film, and scholarly research. Designed for intellectually curious individuals, the club seeks to promote scientific literacy and deeper understanding of the natural world. Members engage with STEM content, which is discussed through synchronized reading schedules and monthly meetings. While many gravitate toward popular fiction, the club emphasizes the cognitive and intellectual value of scientific texts."
STEM Pals,,Engineering,"We aim to encourage, inspire & (st)empower Washingtonian high school students to pursue STEM-related activities and education post-graduation.","We are a group of graduate students, undergraduates and faculty at the University of Washington, Seattle. Our goal is to: encourage, inspire & (st)empower Washingtonian high school students to pursue STEM-related activities and education post-graduation. Please see our website stempals.club for more details!"
StepUp Dance Crew,SUDC,Performing,StepUp is a UW student-led dance group founded in 2013 and earns high reputation in the Great Seattle area. Currently we have 30 crew members and over 100 community members. We do various dance genres including Choreography (,"StepUp is a UW student-led dance group founded in 2013 and earns high reputation in the Great Seattle area. Currently we have 30 crew members and over 100 community members. We do various dance genres including Choreography (Power Jazz, Hip-hop), K-Pop, Poppin, lockin and Breakin. Moreover, We have performed at many events, such as the Chinese New Year Gala of Seattle based companies, namely Microsoft and Amazon, as well as events(Freshmen Welcoming Party, the Voice of UW, Night Market, and etc.) host by UW associations."
